VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-01-01 00:33:18,2016-01-01 00:40:51,N,1,-73.91845703125,40.765491485595703,-73.92901611328125,40.775867462158203,1,1.41,7,0.5,0.5,2,0,,0.3,10.3,1,1
2,2016-01-01 00:16:39,2016-01-01 00:40:28,N,1,-73.95037841796875,40.707542419433594,-73.894302368164063,40.693222045898438,6,3.50,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2016-01-01 00:37:39,2016-01-01 00:40:58,N,1,-73.952781677246094,40.798381805419922,-73.953720092773438,40.790668487548828,1,.67,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-01-01 00:23:58,2016-01-01 00:39:41,N,1,-73.944381713867187,40.823806762695312,-73.909423828125,40.844715118408203,1,3.20,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2016-01-01 00:15:30,2016-01-01 00:40:53,N,1,-73.978439331054687,40.683986663818359,-73.994911193847656,40.769111633300781,1,6.82,24,0.5,0.5,0,0,,0.3,25.3,2,1
2,2016-01-01 00:28:36,2016-01-01 00:40:25,N,1,-73.948776245117187,40.828948974609375,-73.944839477539063,40.808826446533203,1,1.89,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2016-01-01 00:30:08,2016-01-01 00:40:43,N,1,-73.924102783203125,40.744026184082031,-73.902862548828125,40.744663238525391,1,2.18,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-01-01 00:37:18,2016-01-01 00:41:00,N,1,-73.900749206542969,40.820125579833984,-73.886405944824219,40.827510833740234,1,.80,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-01-01 00:33:41,2016-01-01 00:41:03,N,1,-73.978729248046875,40.670341491699219,-73.993385314941406,40.660446166992188,1,1.36,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-01-01 00:26:12,2016-01-01 23:50:07,N,1,-73.954978942871094,40.694721221923828,-73.959609985351563,40.729721069335938,1,3.18,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1
2,2016-01-01 00:34:38,2016-01-01 00:40:07,N,1,-73.870796203613281,40.751415252685547,-73.884262084960938,40.747642517089844,3,.88,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-01-01 00:33:08,2016-01-01 00:41:03,N,1,-73.893295288085938,40.754806518554687,-73.923248291015625,40.761009216308594,1,1.77,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
2,2016-01-01 00:32:40,2016-01-01 00:41:02,N,1,-73.83062744140625,40.759483337402344,-73.845428466796875,40.784271240234375,1,2.24,9,0.5,0.5,2.06,0,,0.3,12.36,1,1
